config_id,experience,config,accuracy,loss,forgetting
0,0,{'USE_TTA': True},0.8531073446327684,1.3411335701190288,0
0,1,{'USE_TTA': True},0.8411432369557993,0.5948776909763867,0
0,2,{'USE_TTA': True},0.8506148222000665,1.0117015988734874,0
0,3,{'USE_TTA': True},0.7588899966766367,0.9180519552197972,0
0,4,{'USE_TTA': True},0.8122299767364572,0.6378277587549388,0
0,5,{'USE_TTA': True},0.8109006314390163,0.5067401874760871,0
0,6,{'USE_TTA': True},0.8964772349617813,0.5642011089079831,0
0,7,{'USE_TTA': True},0.8964772349617813,0.38831844516436237,0
0,8,{'USE_TTA': True},0.9046194749086075,0.26543221534487116,0
0,9,{'USE_TTA': True},0.9046194749086075,0.2625060314592674,0
0,10,{'USE_TTA': True},0.9288800265869059,0.18484438670900338,0
1,0,{'USE_TTA': False},0.8976404120970423,0.285501700319878,0
1,1,{'USE_TTA': False},0.8969757394483217,0.9676410250269927,0
1,2,{'USE_TTA': False},0.8876703223662347,1.0628402692627748,0
1,3,{'USE_TTA': False},0.8625789298770355,0.6000298059693622,0
1,4,{'USE_TTA': False},0.8585908939847126,0.5978806086190059,0
1,5,{'USE_TTA': False},0.8285144566301097,1.011595736502856,0
1,6,{'USE_TTA': False},0.8519441674975075,1.263058000107861,0
1,7,{'USE_TTA': False},0.8438019275506813,1.2257954685781172,0
1,8,{'USE_TTA': False},0.8147224991691592,2.024278152928308,0
1,9,{'USE_TTA': False},0.8122299767364572,1.2707858838086443,0
1,10,{'USE_TTA': False},0.8595879029577933,0.9498132118826002,0
