config_id,experience,config,accuracy,loss,forgetting
0,0,{'USE_TTA': True},0.9700897308075773,0.05592103372211912,0
0,1,{'USE_TTA': True},0.9700897308075773,0.118814377006385,0
0,2,{'USE_TTA': True},0.9217347956131605,3.4220398007871955,0
0,3,{'USE_TTA': True},0.8668993020937188,2.8453991836058186,0
0,4,{'USE_TTA': True},0.7919574609504819,18.858764292283684,0
0,5,{'USE_TTA': True},0.7791625124626121,9.173896880490801,0
0,6,{'USE_TTA': True},0.8165503489531406,13.730210483063367,0
0,7,{'USE_TTA': True},0.8165503489531406,14.290815873543867,0
0,8,{'USE_TTA': True},0.8476237952808242,11.005276650839091,0
0,9,{'USE_TTA': True},0.899966766367564,1.957805925144216,0
0,10,{'USE_TTA': True},0.9533067464273846,1.7545479783128692,0
1,0,{'USE_TTA': False},0.9634430043203722,0.07165788381031579,0
1,1,{'USE_TTA': False},0.9327018943170489,0.08467289470866349,0
1,2,{'USE_TTA': False},0.9524759056164839,0.14784241294660636,0
1,3,{'USE_TTA': False},0.9212362911266201,0.41266665027847615,0
1,4,{'USE_TTA': False},0.9011299435028248,0.7933749114029257,0
1,5,{'USE_TTA': False},0.9410103024260552,0.5003597941637563,0
1,6,{'USE_TTA': False},0.9258889996676637,0.7780383692679775,0
1,7,{'USE_TTA': False},0.9137587238285144,0.8785158136995566,0
1,8,{'USE_TTA': False},0.9238949817215022,2.2565596299948476,0
1,9,{'USE_TTA': False},0.9165835825855766,2.35808116369458,0
1,10,{'USE_TTA': False},0.9182452642073778,7.041057430745043,0
